Rank;Name;Title;Country;Rating;Games;B-Year
1;Carlsen, Magnus;g;NOR;2842;0;1990
2;Caruana, Fabiano;g;USA;2822;0;1992
3;Mamedyarov, Shakhriyar;g;AZE;2801;0;1985
4;Ding, Liren;g;CHN;2797;0;1992
5;Giri, Anish;g;NED;2780;7;1994
6;So, Wesley;g;USA;2780;0;1993
7;Kramnik, Vladimir;g;RUS;2779;7;1975
8;Vachier-Lagrave, Maxime;g;FRA;2779;0;1990
9;Nakamura, Hikaru;g;USA;2777;0;1987
10;Karjakin, Sergey;g;RUS;2773;0;1990
11;Nepomniachtchi, Ian;g;RUS;2768;7;1990
12;Anand, Viswanathan;g;IND;2768;0;1969
13;Aronian, Levon;g;ARM;2767;0;1982
14;Grischuk, Alexander;g;RUS;2766;0;1983
15;Yu, Yangyi;g;CHN;2760;4;1994
16;Svidler, Peter;g;RUS;2753;0;1976
17;Radjabov, Teimour;g;AZE;2751;0;1987
18;Jakovenko, Dmitry;g;RUS;2748;4;1983
19;Topalov, Veselin;g;FID;2747;0;1975
20;Navara, David;g;CZE;2741;0;1985
21;Duda, Jan-Krzysztof;g;POL;2740;7;1998
22;Harikrishna, P.;g;IND;2739;5;1986
23;Wei, Yi;g;CHN;2735;7;1999
24;Vitiugov, Nikita;g;RUS;2730;10;1987
25;Le, Quang Liem;g;VIE;2727;9;1991
26;Wojtaszek, Radoslaw;g;POL;2727;7;1987
27;Shankland, Samuel;g;USA;2727;0;1991
28;Rapport, Richard;g;HUN;2719;0;1996
29;Cheparinov, Ivan;g;GEO;2718;4;1986
30;Vidit, Santosh Gujrathi;g;IND;2715;4;1994
31;Li, Chao b;g;CHN;2714;4;1989
32;Bu, Xiangzhi;g;CHN;2712;0;1985
33;Naiditsch, Arkadij;g;AZE;2711;17;1985
34;Kryvoruchko, Yuriy;g;UKR;2711;0;1986
35;Wang, Hao;g;CHN;2711;0;1989
36;Andreikin, Dmitry;g;RUS;2710;14;1990
37;Ivanchuk, Vassily;g;UKR;2710;0;1969
38;Mamedov, Rauf;g;AZE;2708;0;1988
39;Fedoseev, Vladimir;g;RUS;2707;0;1995
40;Vallejo Pons, Francisco;g;ESP;2707;0;1982
41;Adams, Michael;g;ENG;2706;0;1971
42;Eljanov, Pavel;g;UKR;2706;0;1983
43;Gelfand, Boris;g;ISR;2703;0;1968
44;Almasi, Zoltan;g;HUN;2702;5;1976
45;Artemiev, Vladislav;g;RUS;2702;0;1998
46;Tomashevsky, Evgeny;g;RUS;2702;0;1987
47;Bacrot, Etienne;g;FRA;2699;8;1983
48;Sadler, Matthew D;g;ENG;2693;0;1974
49;Nabaty, Tamir;g;ISR;2692;7;1991
50;Dubov, Daniil;g;RUS;2691;0;1996
51;Leko, Peter;g;HUN;2691;0;1979
52;Saric, Ivan;g;CRO;2690;19;1990
53;Inarkiev, Ernesto;g;RUS;2690;9;1985
54;Howell, David W L;g;ENG;2687;0;1990
55;Ragger, Markus;g;AUT;2686;1;1988
56;Ponomariov, Ruslan;g;UKR;2686;0;1983
57;Amin, Bassem;g;EGY;2684;5;1988
58;Matlakov, Maxim;g;RUS;2683;9;1991
59;Sargissian, Gabriel;g;ARM;2680;0;1983
60;Berkes, Ferenc;g;HUN;2678;9;1985
61;Rodshtein, Maxim;g;ISR;2678;0;1989
62;Malakhov, Vladimir;g;RUS;2677;13;1980
63;Sjugirov, Sanan;g;RUS;2677;9;1993
64;Wang, Yue;g;CHN;2677;4;1987
65;Safarli, Eltaj;g;AZE;2676;8;1992
66;Kamsky, Gata;g;USA;2675;0;1974
67;Ni, Hua;g;CHN;2673;4;1983
68;Sasikiran, Krishnan;g;IND;2671;9;1981
69;Adhiban, B.;g;IND;2671;0;1992
70;Demchenko, Anton;g;RUS;2670;9;1987
71;Robson, Ray;g;USA;2670;0;1994
72;Swiercz, Dariusz;g;POL;2669;9;1994
73;McShane, Luke J;g;ENG;2669;0;1984
74;Kovalev, Vladislav;g;BLR;2667;7;1994
75;Sethuraman, S.P.;g;IND;2666;13;1993
76;Jones, Gawain C B;g;ENG;2666;9;1987
77;Guseinov, Gadir;g;AZE;2665;18;1986
78;Cori, Jorge;g;PER;2664;0;1995
79;Korobov, Anton;g;UKR;2664;0;1985
80;Najer, Evgeniy;g;RUS;2663;9;1977
81;Hammer, Jon Ludvig;g;NOR;2662;19;1990
82;Laznicka, Viktor;g;CZE;2662;3;1988
83;Kasimdzhanov, Rustam;g;UZB;2662;0;1979
84;Motylev, Alexander;g;RUS;2661;9;1979
85;Melkumyan, Hrant;g;ARM;2660;8;1989
86;Short, Nigel D;g;ENG;2659;0;1965
87;Grandelius, Nils;g;SWE;2658;19;1993
88;Hou, Yifan;g;CHN;2658;0;1994
89;Van Kampen, Robin;g;NED;2658;0;1994
90;Nisipeanu, Liviu-Dieter;g;GER;2657;7;1976
91;Lenic, Luka;g;SLO;2656;0;1988
92;Morozevich, Alexander;g;RUS;2656;0;1977
93;Akopian, Vladimir;g;ARM;2655;0;1971
94;Kravtsiv, Martyn;g;UKR;2654;0;1990
95;Bruzon Batista, Lazaro;g;CUB;2653;9;1982
96;Anton Guijarro, David;g;ESP;2652;0;1995
97;Areshchenko, Alexander;g;UKR;2652;0;1986
98;Ganguly, Surya Shekhar;g;IND;2652;0;1983
99;Rublevsky, Sergei;g;RUS;2652;0;1974
100;Rausis, Igors;g;CZE;2651;0;1961
